file,compare,region,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
./adapt_box/17302/17302_00115.swc,manual,VPM,4621,12.5664,6,36,76,41,717.392,606.016,166.97,1.99957,10483.5,65870,32935,447.497,874.247,9,0.883812,59.7895,1,72.0779,65.754,1.13464
./adapt_box/17302/17302_00115.swc,recons,VPM,544,3631.68,4,39,81,43,731.961,750,176,4.24301,9532.08,112974,192706,530.89,900.172,8,0.911558,5.7037,0.807029,52.1997,58.9936,1.33705
./adapt_box/17302/17302_00078.swc,manual,VPM,4487,12.5664,6,35,74,40,902.376,942.75,119.648,1.99955,8721.25,54797.2,27398.6,681.959,762.553,8,0.886435,59.6216,1,59.649,50.8061,1.11025
./adapt_box/17302/17302_00078.swc,recons,VPM,388,3631.68,4,25,52,28,905.999,952.621,120,3.57268,6844.77,64673.6,112190,688.302,716.232,7,0.913357,6.44231,0.821014,58.1547,56.1832,1.33974
./adapt_box/17302/17302_00085.swc,manual,CP,13412,12.5664,6,63,130,68,1019.95,1019.26,213.925,1.99985,28547,179366,89683,721.031,2814.47,16,0.883506,102.162,1,83.2305,86.865,1.17311
./adapt_box/17302/17302_00085.swc,recons,CP,651,4071.5,7,24,54,31,1020,1020,214,4.22642,11982.7,146426,236375,709.236,943.147,5,0.921028,11.037,0.830457,53.2841,64.0367,1.31359
./adapt_box/17302/17302_00091.swc,manual,CP,16786,12.5664,6,81,166,86,1021.31,885.625,427.901,1.99988,34279.5,215385,107692,685.573,1737.74,13,0.873224,100.114,1,78.6421,89.9802,1.17611
./adapt_box/17302/17302_00091.swc,recons,CP,722,3216.99,4,34,70,37,1022,886,428,3.51413,12968.3,131731,170767,700.6,1259.54,8,0.923805,9.3,0.920009,54.8294,69.1768,1.27851
./adapt_box/17302/17302_00098.swc,manual,CP,10219,12.5664,5,49,101,53,1021.43,1020.98,238.244,1.9998,21175.9,133052,66526,711.95,2122.23,11,0.87777,100.168,1,81.0042,86.3789,1.15223
./adapt_box/17302/17302_00098.swc,recons,CP,614,3216.99,8,26,58,33,1022,1022,238.32,3.69902,11062.7,120850,172335,586.586,982.746,8,0.878173,9.56897,0.907651,63.0876,55.9092,1.23081
./adapt_box/17302/17302_00077.swc,manual,MGv,6057,12.5664,9,34,75,42,697.966,855.938,350.928,1.99967,13475.4,84668.5,42334.2,544.466,1202.16,9,0.85047,79.7467,1,59.7277,55.7841,1.10287
./adapt_box/17302/17302_00077.swc,recons,MGv,488,4071.5,5,28,59,32,716.521,868,362,3.28238,8717.39,70847.9,112830,533.37,1195.86,7,0.908312,7.25424,0.927188,50.8632,53.0057,1.19815
./adapt_box/17302/17302_00080.swc,manual,MGv,12178,12.5664,5,95,193,99,763.381,826.797,235.748,1.99984,22470.7,141188,70593.8,473.812,1070.05,11,0.880122,62.0933,1,65.74,68.1681,1.17013
./adapt_box/17302/17302_00080.swc,recons,MGv,738,2827.43,7,40,86,47,764.001,828,236.98,2.72005,13335,99073.9,113903,467.509,569.4,9,0.895535,7.56977,0.901595,53.7612,58.0857,1.37248
./adapt_box/17302/17302_00079.swc,manual,MGv,8013,12.5664,11,50,109,60,921.009,841.062,223.858,1.99975,18601.5,116877,58438.5,561.551,883.806,6,0.874709,72.5046,1,72.7529,63.6116,1.17674
./adapt_box/17302/17302_00079.swc,recons,MGv,693,1809.56,5,33,70,38,921.959,846,340,2.68139,12691,94110.7,105020,516.441,1092.53,8,0.899534,8.88571,0.940803,53.9415,58.6864,1.38943
